5622, 1234359, 1525548, 2765601
5749, 1237466, 1542501, 2785781
475, 117, 387, 1053
474, 119, 391, 1051
484, 117, 396, 1071
475, 117, 382, 1053
398, 105, 415, 1104
1865, 386, 3748, 6078
1753, 387, 3814, 6076
1893, 386, 3586, 5938
1667, 386, 3943, 6080
1755, 387, 3824, 6038
5647, 1527, 15641, 22887
5736, 1531, 15420, 22763
5792, 1530, 15581, 22980
5612, 1531, 15749, 22963
5594, 1533, 15502, 22705
121446, 12273, 46911, 180775
120259, 12257, 48207, 180803
120465, 12249, 48564, 181348
119061, 12223, 47721, 179084
120482, 12551, 47175, 180279
1111546, 98475, 296338, 1506428
1115971, 98371, 297942, 1512363
1113403, 98636, 296692, 1508810
1112877, 98024, 296933, 1507910
1129280, 98490, 300699, 1528543
283, 168, 242, 777
285, 168, 238, 763
291, 168, 234, 770
290, 169, 261, 795
271, 168, 244, 789
475, 806, 1135, 2493
481, 697, 1216, 2467
477, 699, 1097, 2348
476, 774, 1164, 2485
497, 905, 1321, 2793
821, 4002, 5745, 10641
720, 3872, 5473, 10131
796, 3863, 5355, 10081
795, 4016, 5430, 10293
813, 4001, 5600, 10493
1262, 18181, 23394, 42911
1180, 17955, 23295, 42504
1222, 17966, 23381, 42641
1087, 17935, 23309, 42401
1051, 17932, 24269, 43320
1884, 75238, 98444, 175634
1917, 75217, 100119, 177329
1766, 75132, 97656, 174628
1757, 75201, 98052, 175077
1842, 75114, 97947, 174980
3190, 307370, 377648, 688281
3085, 305934, 385776, 694870
3053, 307194, 400313, 710630
3130, 305742, 377892, 686838
3084, 306504, 397954, 707608
5298, 1239506, 1548402, 2793278
5762, 1232865, 1518451, 2757155
5650, 1237663, 1592004, 2835390
5774, 1237556, 1562608, 2806011
5572, 1234814, 1542445, 2782909
474, 117, 398, 1063
476, 118, 387, 1058
486, 117, 391, 1069
476, 107, 402, 1061
474, 113, 624, 1289
1680, 385, 3834, 5935
1727, 386, 3819, 6009
1806, 386, 3768, 6039
1872, 385, 3680, 6010
1850, 385, 3722, 6023
5697, 1548, 15323, 22633
5707, 1528, 15230, 22536
5752, 1553, 15182, 22566
5561, 1531, 15587, 22746
5781, 1531, 15533, 22923
120130, 12381, 46667, 179252
120091, 12319, 46675, 179156
120855, 12706, 45924, 179554
122431, 12773, 46718, 181995
122502, 12676, 46756, 182008
1116313, 98285, 299246, 1513913
1113155, 98139, 299209, 1510578
1118757, 98014, 299154, 1516003
1108903, 97998, 296455, 1503432
1112071, 98449, 297117, 1507711
1193, 623, 1899, 3793
1068, 623, 1990, 3756
1229, 622, 1810, 3731
1099, 623, 1915, 3712
1149, 622, 1907, 3754
1833, 2489, 4256, 8651
1901, 2490, 4199, 8669
1850, 2497, 4221, 8638
1903, 2491, 4297, 8762
1863, 2493, 4138, 8569
3186, 9647, 14461, 27366
3180, 9554, 14220, 27028
3029, 9556, 13724, 26386
3180, 9574, 13694, 26511
2970, 9569, 13743, 26350
5698, 37229, 51865, 94870
5711, 37162, 50553, 93501
5760, 37181, 50416, 93431
5690, 37155, 51008, 93919
5566, 37150, 50588, 93382
15457, 147629, 189923, 353077
14807, 146622, 189557, 351056
15543, 147347, 185933, 348895
15677, 147101, 191193, 354041
15554, 148015, 191566, 355206
49947, 586586, 782704, 1419316
50671, 585986, 739534, 1376263
50197, 586428, 741905, 1378596
49114, 587812, 757266, 1394268
49385, 586783, 752502, 1388748
122355, 2350073, 3077923, 5550429
120657, 2346139, 3083240, 5550107
